Albedo_BSA_Band1,Albedo_BSA_Band1_count,Albedo_BSA_Band2,Albedo_BSA_Band2_count,Albedo_BSA_Band3,Albedo_BSA_Band3_count,Albedo_BSA_Band4,Albedo_BSA_Band4_count,Albedo_BSA_nir,Albedo_BSA_nir_count,Albedo_BSA_vis,Albedo_BSA_vis_count,date,doy,month,year
0.3658523189585029,16,0.31802725793327913,16,0.3411381039197812,14,0.3688087993421052,15,0.2605980582524272,5,0.35347128532360983,14,2023-08-28,239,8,2023
0.36067414187643015,14,0.31623478260869553,14,0.3343061784897025,14,0.36283066361556066,14,0.23104575163398697,5,0.3469707093821509,14,2023-08-29,240,8,2023
0.3406707040121121,8,0.29713781398506456,9,0.31588719153936545,10,0.33019095182138664,10,0.1955772097976571,5,0.3285442846328539,8,2024-08-30,242,8,2024
0.3214524635669674,8,0.276089055064582,9,0.31186951433586896,10,0.32589994148624934,10,0.18493268563497575,8,0.3131207494795281,8,2024-08-31,243,8,2024
0.3201413383364603,7,0.2923622685185186,10,0.2947445295404815,8,0.3096247264770241,8,0.1957933094384707,8,0.3079080675422139,7,2024-09-01,244,9,2024
0.32680399061032867,9,0.29326504629629635,10,0.2946810722100657,8,0.3130714661061482,9,0.19649103942652327,8,0.3081494684177611,7,2024-09-02,245,9,2024
0.31853118161925603,10,0.29423165666820494,13,0.2872026402640264,8,0.31273358862144424,10,0.20225953788285866,10,0.29501320132013203,8,2024-09-03,246,9,2024
0.3186143326039387,10,0.29460544531610516,13,0.28707062706270625,8,0.3127992341356674,10,0.20087770626097132,9,0.2948567656765677,8,2024-09-04,247,9,2024
0.3198231805929919,11,0.29973612875900046,15,0.2869207920792079,8,0.31290590809628005,10,0.2047862473347548,10,0.29470693069306936,8,2024-09-05,248,9,2024
0.32032506738544486,11,0.3006781024989412,15,0.28731155115511553,8,0.3132904814004377,10,0.20572921108742004,10,0.2954627062706271,8,2024-09-06,249,9,2024
0.3195213347921225,10,0.2989074550128536,14,0.2871630363036304,8,0.3131816192560175,10,0.2056764392324094,10,0.2951353135313532,8,2024-09-07,250,9,2024
0.3132877173303422,10,0.2948124715521165,14,0.28717547169811325,9,0.3057033656588705,9,0.1907987065481003,5,0.2908831683168317,8,2024-09-09,252,9,2024
0.31856509846827136,10,0.2923612903225806,12,0.3051892778993435,10,0.31322702407002184,10,0.19474331983805668,6,0.3105284463894968,10,2024-09-10,253,9,2024
0.3128524027459954,8,0.2876834085778781,9,0.2948781464530892,8,0.30725343249427917,8,0.20220576540755467,5,0.30234897025171625,8,2024-09-11,254,9,2024
